"","P_CODE","REEF","SITE_NO","TRANSECT_NO","LATITUDE","LONGITUDE","REPORT_YEAR","DATE","fYEAR","fDEPTH","REEF_ZONE","fGROUP","GROUP_DESC","COUNT","TOTAL","PERC_COVER","ZONE_DEPTH","tier4","tier5"
"108","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",169,2250,0.0751111111111111,"_.9",1819,10614
"109","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",350,2650,0.132075471698113,"_.9",1819,10614
"110","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",375,2700,0.138888888888889,"_.9",1819,10614
"111","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",1489,6450,0.230852713178295,"_.9",1819,10614
"112","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",583,3500,0.166571428571429,"_.9",1819,10614
"113","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",794,4300,0.184651162790698,"_.9",1819,10614
"114","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",808,3650,0.221369863013699,"_.9",1819,10614
"115","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2020,NA,"2020","7","_","HARD CORAL","HARD CORAL",1019,2800,0.363928571428571,"_.7",1819,10614
"116","1","Agincourt Reef No.1 Site 2","290","4",-16.0418166666667,145.87015,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",976,3300,0.295757575757576,"_.9",1819,10614
"117","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",480,2650,0.181132075471698,"_.9",1819,10614
"118","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2008,NA,"2008","9","_","HARD CORAL","HARD CORAL",722,2550,0.283137254901961,"_.9",1819,10614
"119","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2009,NA,"2009","9","_","HARD CORAL","HARD CORAL",1721,5150,0.334174757281553,"_.9",1819,10614
"120","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2011,NA,"2011","9","_","HARD CORAL","HARD CORAL",907,2750,0.329818181818182,"_.9",1819,10614
"121","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2012,NA,"2012","9","_","HARD CORAL","HARD CORAL",265,2450,0.108163265306122,"_.9",1819,10614
"122","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2013,NA,"2013","9","_","HARD CORAL","HARD CORAL",489,2700,0.181111111111111,"_.9",1819,10614
"123","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2014,NA,"2014","9","_","HARD CORAL","HARD CORAL",531,2650,0.200377358490566,"_.9",1819,10614
"124","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2015,NA,"2015","9","_","HARD CORAL","HARD CORAL",897,5605,0.160035682426405,"_.9",1819,10614
"125","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2016,NA,"2016","9","_","HARD CORAL","HARD CORAL",435,3400,0.127941176470588,"_.9",1819,10614
"126","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2017,NA,"2017","9","_","HARD CORAL","HARD CORAL",623,4600,0.135434782608696,"_.9",1819,10614
"127","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2019,NA,"2019","9","_","HARD CORAL","HARD CORAL",743,4050,0.183456790123457,"_.9",1819,10614
"128","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2020,NA,"2020","7","_","HARD CORAL","HARD CORAL",732,2745,0.266666666666667,"_.7",1819,10614
"129","1","Agincourt Reef No.1 Site 2","290","5",-16.0418166666667,145.87015,2020,NA,"2020","9","_","HARD CORAL","HARD CORAL",894,3740,0.23903743315508,"_.9",1819,10614
"130","1","Agincourt Reef No.1 Site 3","1654","1",-16.0475666666667,145.8716,2007,NA,"2007","9","_","HARD CORAL","HARD CORAL",723,2550,0.283529411764706,"_.9",1819,10614
